,time,mV
412,6.0065008,9.0
413,6.0179812,9.2
414,6.0296734,9.4
415,6.042208100000001,9.6
416,6.053657500000001,9.8
417,6.0650719,10.0
418,6.076842200000001,10.0
419,6.0883058000000005,10.3
420,6.0998036,10.6
421,6.1114673,10.9
422,6.122726,11.2
423,6.134733600000001,11.5
424,6.1461426,11.8
425,6.1577038,12.1
426,6.169498,12.4
427,6.1810212,12.7
428,6.1935279,13.0
429,6.2071728,13.0
430,6.218756900000001,13.0
431,6.2305454000000005,13.0
432,6.2421873,13.3
433,6.253681800000001,13.6
434,6.265187200000001,13.9
435,6.2767222,14.2
436,6.2880929000000005,14.5
437,6.2996416,14.8
438,6.311561500000001,15.1
439,6.3230653000000006,15.4
440,6.3344641,15.7
441,6.345454800000001,16.0
442,6.356970700000001,16.0
443,6.368145200000001,16.0
444,6.379813700000001,16.0
445,6.3916139,16.0
446,6.4030794,16.2
447,6.4145944,16.4
448,6.4261099,16.6
449,6.4373512,16.8
450,6.449353100000001,17.0
451,6.461227,17.2
452,6.4732108,17.4
453,6.4847375000000005,17.6
454,6.4958781000000005,17.8
455,6.5068757,18.0
456,6.5183605,18.0
457,6.5300346000000005,18.0
458,6.5411335,18.0
459,6.5519851000000005,18.0
460,6.5636497,18.3
461,6.5753281,18.6
462,6.5871183,18.9
463,6.598941,19.2
464,6.6105238,19.5
465,6.622368600000001,19.8
466,6.6335044000000005,20.1
467,6.644751100000001,20.4
468,6.6559537,20.7
469,6.667491900000001,21.0
470,6.6786607,21.0
471,6.6901541,21.0
472,6.7014505,21.0
473,6.7131182,21.0
474,6.7248725,20.7
475,6.7364188,20.4
476,6.7480612,20.1
477,6.760041500000001,20.1
478,6.7714865,20.1
479,6.7829933,20.1
480,6.794950200000001,20.1
481,6.806418900000001,20.1
482,6.8180709,20.1
483,6.8300666,20.1
484,6.842609100000001,20.4
485,6.8545578,20.7
486,6.866380700000001,21.0
487,6.8785727,21.0
488,6.8897691000000005,21.0
489,6.901156800000001,21.0
490,6.912518100000001,21.0
491,6.9239353,21.0
492,6.9355302000000005,21.0
493,6.946659400000001,21.2
494,6.9586369,21.4
495,6.969972100000001,21.6
496,6.981184900000001,21.8
497,6.992055000000001,22.0
498,7.0035524,22.2
499,7.0152932,22.4
500,7.0265898,22.6
501,7.0377894,22.8
502,7.0496274,23.0
503,7.0613036000000005,23.0
504,7.0731606000000005,23.0
505,7.0845972,23.0
506,7.0961078,23.0
507,7.1075515000000005,23.0
508,7.119013000000001,23.0
509,7.130661300000001,23.0
510,7.1421614,23.0
511,7.153642400000001,23.0
512,7.1651543,23.0
513,7.1761754,23.0
514,7.188056400000001,23.0
515,7.1998234000000005,23.0
516,7.2118799000000005,23.0
517,7.223667000000001,23.0
518,7.2351761,23.0
519,7.247001200000001,23.0
520,7.2586943,23.0
521,7.2705213,23.0
522,7.2821825,23.0
523,7.2938115,23.0
524,7.305537200000001,23.0
525,7.317161700000001,23.0
526,7.328687,23.0
527,7.340535200000001,23.0
528,7.351860100000001,23.0
529,7.3633335,23.0
530,7.3751528,23.0
531,7.3868692000000005,22.8
532,7.3983666,22.6
533,7.4099846000000005,22.4
534,7.4212349,22.2
535,7.4327344,22.2
536,7.444137700000001,22.2
537,7.4559802,22.2
538,7.4679836,22.2
539,7.4795876,22.2
540,7.4911601,22.2
541,7.502661300000001,22.4
542,7.5140227,22.6
543,7.525141100000001,22.8
544,7.536612300000001,23.0
545,7.5483563,23.0
546,7.5598714000000005,23.0
547,7.571303,23.0
548,7.5828144,23.0
549,7.594186400000001,23.0
550,7.6054345,23.0
551,7.6168303,23.0
552,7.6278753,23.0
553,7.6389024999999995,23.3
554,7.6503909000000005,23.3
555,7.662008900000001,23.3
556,7.673716400000001,23.3
557,7.6851992000000005,23.3
558,7.696921800000001,23.3
559,7.708306600000001,23.3
560,7.7197655,23.3
561,7.7316811,23.3
562,7.743146,23.3
563,7.7553387,23.0
564,7.766970400000001,23.0
565,7.778463900000001,23.0
566,7.789465800000001,23.0
567,7.8012466,23.0
568,7.8127448,23.0
569,7.824285000000001,23.0
570,7.8358110000000005,23.0
571,7.847789100000001,23.0
572,7.859506800000001,23.0
573,7.870481600000001,23.0
574,7.8823377,23.0
575,7.894268300000001,23.0
576,7.9056477,23.0
577,7.917654700000001,23.0
578,7.9292206,23.0
579,7.9410818,23.0
580,7.9528455,23.0
581,7.9648885,23.0
582,7.976490000000001,23.0
583,7.9879854,23.3
584,7.999376500000001,23.6
585,8.0110944,23.9
586,8.0229688,24.2
587,8.034870699999999,24.5
588,8.0466988,24.8
589,8.0586959,25.1
590,8.0703892,25.4
591,8.0823615,25.7
592,8.0944567,26.0
593,8.1060863,26.0
594,8.117559199999999,26.0
595,8.128981099999999,26.0
596,8.140200799999999,26.0
597,8.1520203,26.0
598,8.163411199999999,26.0
599,8.1749238,26.0
600,8.186279899999999,26.0
601,8.198351599999999,26.0
602,8.209281299999999,25.7
603,8.221176,25.4
604,8.233064299999999,25.1
605,8.244554299999999,24.8
606,8.2560811,24.5
607,8.2675913,24.2
608,8.2795711,24.2
609,8.291491299999999,24.2
610,8.302681999999999,24.2
611,8.3143642,24.2
612,8.3255068,24.5
613,8.337154499999999,24.8
614,8.3485331,25.1
615,8.359980199999999,25.1
616,8.3711757,25.1
617,8.3825832,25.4
618,8.3942005,25.4
619,8.4053265,25.4
