,time,force_mV,displacement_mV,mV
480,7.575455300000001,,,b'17.80\t399\r\n'
481,7.590993,,,b'17.80\t399\r\n'
482,7.6074250999999995,,,b'17.80\t398\r\n'
483,7.623778199999999,,,b'17.80\t398\r\n'
484,7.6396454,,,b'17.80\t397\r\n'
485,7.6550679,,,b'18.00\t397\r\n'
486,7.670210399999999,,,b'18.30\t397\r\n'
487,7.68542,,,b'18.30\t396\r\n'
488,7.7018067,,,b'18.30\t396\r\n'
489,7.7178137,,,b'18.30\t395\r\n'
490,7.733940400000001,,,b'18.30\t394\r\n'
491,7.749193600000001,,,b'18.30\t394\r\n'
492,7.7646182,,,b'18.30\t393\r\n'
493,7.780898400000001,,,b'18.30\t393\r\n'
494,7.796225199999999,,,b'18.30\t393\r\n'
495,7.8118183,,,b'18.30\t392\r\n'
496,7.826717299999999,,,b'18.00\t392\r\n'
497,7.842916,,,b'18.00\t391\r\n'
498,7.8582311,,,b'18.00\t391\r\n'
499,7.8734937,,,b'18.30\t390\r\n'
500,7.8894712,,,b'18.30\t390\r\n'
501,7.9047188,,,b'18.30\t390\r\n'
502,7.920300699999999,,,b'18.30\t389\r\n'
503,7.9363658,,,b'18.30\t389\r\n'
504,7.951667400000001,,,b'18.60\t389\r\n'
505,7.967281900000001,,,b'18.60\t388\r\n'
506,7.9834752,,,b'18.60\t388\r\n'
507,7.9981325,,,b'18.60\t387\r\n'
508,8.014381499999999,,,b'18.60\t387\r\n'
509,8.0303088,,,b'18.30\t386\r\n'
510,8.0458797,,,b'18.60\t386\r\n'
511,8.061819,,,b'18.90\t386\r\n'
512,8.076998799999998,,,b'18.90\t385\r\n'
513,8.0927444,,,b'18.90\t384\r\n'
514,8.108548599999999,,,b'18.60\t384\r\n'
515,8.124491500000001,,,b'18.60\t384\r\n'
516,8.140015299999998,,,b'18.60\t383\r\n'
517,8.156130000000001,,,b'18.60\t383\r\n'
518,8.1711706,,,b'18.90\t382\r\n'
519,8.186533999999998,,,b'19.20\t382\r\n'
520,8.2020005,,,b'18.90\t382\r\n'
521,8.2173774,,,b'18.90\t382\r\n'
522,8.2324779,,,b'19.20\t382\r\n'
523,8.247922800000001,,,b'19.50\t381\r\n'
524,8.2638796,,,b'19.80\t381\r\n'
525,8.2791703,,,b'20.10\t380\r\n'
526,8.295534400000001,,,b'20.40\t380\r\n'
527,8.311258800000001,,,b'20.70\t379\r\n'
528,8.3265456,,,b'20.40\t379\r\n'
529,8.342408899999999,,,b'20.10\t379\r\n'
530,8.3585146,,,b'20.10\t378\r\n'
531,8.374762700000002,,,b'19.80\t378\r\n'
532,8.3905727,,,b'19.80\t378\r\n'
533,8.406325299999999,,,b'19.80\t378\r\n'
534,8.422429300000001,,,b'19.50\t378\r\n'
535,8.438287599999999,,,b'19.50\t377\r\n'
536,8.453816199999999,,,b'19.20\t376\r\n'
537,8.469415600000001,,,b'18.90\t376\r\n'
538,8.4849399,,,b'18.90\t376\r\n'
539,8.501228099999999,,,b'19.20\t375\r\n'
540,8.5166474,,,b'19.50\t375\r\n'
541,8.532568300000001,,,b'19.80\t374\r\n'
542,8.548107000000002,,,b'19.80\t374\r\n'
543,8.563154699999998,,,b'19.80\t374\r\n'
544,8.5792009,,,b'19.80\t373\r\n'
545,8.5943069,,,b'19.50\t373\r\n'
546,8.610100899999999,,,b'19.80\t372\r\n'
547,8.6258193,,,b'20.10\t372\r\n'
548,8.641104599999998,,,b'20.10\t372\r\n'
549,8.6567751,,,b'19.80\t371\r\n'
